run,villages-point-mean,population-point-var,population-stability-mean-5-mean,population-stability-var-5-var,population-stability-mean-10-mean,population-stability-var-10-var,population-stability-mean-100-mean,population-stability-var-100-var,population-trend-5-mean,population-trend-10-var,population-trend-100-mean,matrilocal-point-var,matrilocal-stability-mean-5-mean,matrilocal-stability-var-5-var,matrilocal-stability-mean-10-mean,matrilocal-stability-var-10-var,matrilocal-stability-mean-100-mean,matrilocal-stability-var-100-var,population-point-mean,population-stability-var-5-mean,population-stability-var-10-mean,population-stability-var-100-mean,population-trend-10-mean,matrilocal-point-mean,matrilocal-stability-var-5-mean,matrilocal-stability-var-10-mean,matrilocal-stability-var-100-mean,villages-point-var,population-stability-mean-5-var,population-stability-mean-10-var,population-stability-mean-100-var,population-trend-5-var,population-trend-100-var,matrilocal-stability-mean-5-var,matrilocal-stability-mean-10-var,matrilocal-stability-mean-100-var
1,45.9,7061.07795918367,1969.504,733156.940228572,2055.792,4598949.69134069,3448.9448,4781711411.78153,0.932955176759385,0.000178415141073088,0.276246509878538,0,0,0,0,0,0,0,1901.06,2961.924,11041.1026666667,1518941.27323636,0.859480343227222,0,0,0,0,2.01020408163265,6864.88039183674,6772.51871020408,2858.27760097959,8.19985754003585e-05,0.000147429146564517,0,0,0
2,50,8573.32612244898,6577.012,83432.1118204082,6600.432,2539991.08021083,7015.7158,824121412.718377,0.996822735978445,9.4894183178213e-05,0.758446189851114,0,0,0,0,0,0,0,6567.02,250.396,1514.14533333333,245103.66529495,0.986700825530833,0,0,0,0,0,8498.6684244898,8036.04752653061,2983.30815138776,2.32173711762104e-05,0.000119274738181032,0,0,0
3,50,6281.87755102041,9759.272,63114.4775346939,9768.722,695449.588175813,9879.819,37422406.3063054,0.99962967613316,4.10295667514897e-05,0.940702888639469,0,0,0,0,0,0,0,9757.4,208.296,849.100222222222,19753.7704666667,0.995296036322123,0,0,0,0,0,6474.29511836736,6068.19440408163,1376.04518061224,1.21217594252844e-05,6.11452657593839e-05,0,0,0
4,50,6179.11673469388,11959.816,152061.650628571,11966.182,2365742.79053711,12010.9198,10040114.8191609,1.00075838763696,5.67668812357412e-05,1.00031962422717,0,0,0,0,0,0,0,11964.84,500.672,1492.58422222222,6394.83293131313,0.9972239321931,0,0,0,0,0,6594.77198367345,6251.02354693877,968.192618326521,2.00646180963516e-05,6.3339517520814e-05,0,0,0
5,50,5876.62408163265,13615.584,549287.719608163,13613.422,1855264.3307937,13640.5464,11897103.96712,1.00183247509811,3.44111158873586e-05,1.01618313785294,0,0,0,0,0,0,0,13628.22,549.272,1121.22066666667,7892.27666666667,0.999926217170508,0,0,0,0,0,6021.95239183673,5826.84624081634,808.593823510196,1.42049296974682e-05,5.72847774609178e-05,0,0,0
6,40.32,9430.60244897959,1803.976,3316208.14989796,1961.05,22817739.6324364,3461.16,7709341269.83313,0.869398708746047,0.000315568052585077,0.244251780803647,0,0,0,0,0,0,0,1679.36,10010.87,35928.0682222222,1535428.86910303,0.751082723723055,0,0,0,0,1.65061224489796,9348.51369795918,9129.08785714286,4114.00896734694,0.000152780660389725,0.000201310193187315,0,0,0
7,50,8412.78571428572,6435.144,558300.994289796,6498.396,10559626.4700529,7005.5596,848457137.324971,0.98701033358169,7.39457787355069e-05,0.738463323930111,0,0,0,0,0,0,0,6392.1,1261.414,6558.07777777778,257042.221515152,0.964130437576165,0,0,0,0,0,8345.17557551022,8229.02161632653,2599.63423248979,2.02257063106059e-05,0.000127232974253029,0,0,0
8,50,6642.21591836735,9662.46,383741.734697959,9699.816,8094287.91102565,9872.0166,36646071.688745,0.996477073800623,7.56839621233876e-05,0.930647274707403,0,0,0,0,0,0,0,9645.22,539.886,3345.66355555556,22381.9841838384,0.985045515799993,0,0,0,0,0,6846.28938775508,7277.60912653064,1549.87753310205,2.12594459708531e-05,5.79512784766704e-05,0,0,0
9,50,5325.76979591837,11887.22,192292.075738776,11904.648,3196316.44467745,12003.6772,11071907.7767856,1.00122467521774,4.6378946156462e-05,0.994909801590378,0,0,0,0,0,0,0,11895.16,449.976,1864.94977777778,7424.12427474747,0.993546056562164,0,0,0,0,0,5930.09673469386,6503.09111836736,1224.99588587755,1.67999227428286e-05,5.60064620602464e-05,0,0,0
10,50,2700.37918367347,13550.08,334532.369718367,13561.884,1445637.84530108,13632.4322,7996127.72987546,1.00183704531018,3.49584309236741e-05,1.01092992619356,0,0,0,0,0,0,0,13562.78,533.074,1794.99777777778,7844.50673737374,0.995721944677369,0,0,0,0,0,3368.30857142857,4077.15565714285,896.224217510211,1.35150779306937e-05,3.85125937220055e-05,0,0,0
