run,villages-point-mean,population-point-var,population-stability-mean-5-mean,population-stability-var-5-var,population-stability-mean-10-mean,population-stability-var-10-var,population-stability-mean-100-mean,population-stability-var-100-var,population-trend-5-mean,population-trend-10-var,population-trend-100-mean,matrilocal-point-var,matrilocal-stability-mean-5-mean,matrilocal-stability-var-5-var,matrilocal-stability-mean-10-mean,matrilocal-stability-var-10-var,matrilocal-stability-mean-100-mean,matrilocal-stability-var-100-var,population-point-mean,population-stability-var-5-mean,population-stability-var-10-mean,population-stability-var-100-mean,population-trend-10-mean,matrilocal-point-mean,matrilocal-stability-var-5-mean,matrilocal-stability-var-10-mean,matrilocal-stability-var-100-mean,villages-point-var,population-stability-mean-5-var,population-stability-mean-10-var,population-stability-mean-100-var,population-trend-5-var,population-trend-100-var,matrilocal-stability-mean-5-var,matrilocal-stability-mean-10-var,matrilocal-stability-mean-100-var
4181,50,21803.5510204082,19937.708,2768192.53795918,19930.402,17556937.9701138,19222.8416,13471807699.4238,0.999838812396402,6.2938025786745e-05,1.35190826159436,0,0,0,0,0,0,0,19933.6,1182.72,3579.68422222222,1549301.34080808,1.00100292980923,0,0,0,0,0,18111.4844244898,14437.8699959184,4307.21827493877,1.75336405817885e-05,0.000143473886907,0,0,0
4182,50,15417.8371428571,22226.256,2080513.32509796,22226.576,8642628.94363316,21554.73,15367718785.1257,0.999774360112374,4.22240001088337e-05,1.37267442648351,0,0,0,0,0,0,0,22222.86,1102.902,3153.69777777778,1873680.33250505,0.999990117520953,0,0,0,0,0,15495.2131265306,13396.7920653062,3341.9864489796,1.33864326792268e-05,0.000108716174993997,0,0,0
4183,50,13916.6955102041,24201.584,371092.551759184,24193.012,8857929.96553611,23577.2774,7515670086.473,1.00032776755454,3.09448768002789e-05,1.37572347075085,0,0,0,0,0,0,0,24203.72,663.426,2821.07644444444,2022192.5170404,1.00082426149731,0,0,0,0,0,14637.6470857143,11385.1459755102,3000.31650942854,6.35570553251176e-06,7.75968027497306e-05,0,0,0
4184,50,18082.686122449,25926.036,2669046.32330204,25926.972,19133776.0377655,25372.466,12953601324.5303,0.999478658332176,3.36273120079752e-05,1.36188700232627,0,0,0,0,0,0,0,25918.26,1134.642,3415.70266666667,1986438.80309091,0.999791692080758,0,0,0,0,0,19982.0664326531,17513.6436897959,2444.05120816326,9.09172008077487e-06,9.28229765859607e-05,0,0,0
4185,50,14607.8710204082,27411.468,2569928.60024898,27408.972,13269242.0137312,26943.6456,11289265446.782,1.00052137097413,3.17665535259126e-05,1.34456834696862,0,0,0,0,0,0,0,27419.08,1316.566,3582.26622222222,1905169.60432727,1.00027754129034,0,0,0,0,0,11366.7634448979,8366.47715918365,2290.70869044897,9.44029974938216e-06,7.0453853340578e-05,0,0,0
4186,47.24,26464.1648979592,4406.952,17810303.4338122,4608.428,64011966.7358013,6237.21,19335809746.5818,0.924738344657589,0.000118909692864764,0.462918529492119,0.00042465306122449,0.1756,6.52795510204082e-08,0.14572,1.06926198034769e-06,0.014572,1.05573910633859e-07,4233.72,18757.092,60007.6848888889,1459915.79510707,0.853435444950813,0.1728,0.0003402,0.00221688888888889,0.00214615353535354,2.06367346938776,25700.5919346939,24919.645322449,10002.2379020408,8.09609819593018e-05,0.000314977694489069,0.000144163265306122,0.000159675102040816,1.59675102040816e-06
4187,50,22372.7383673469,9255.452,3328469.71756735,9355.33,29928376.4734795,9831.382,1150552905.03591,0.985438540850593,4.15456652197257e-05,0.873923090047147,0.000951020408163265,0.08288,1.89583673469388e-07,0.06596,3.83475527336861e-07,0.006596,8.73939019260426e-08,9188.58,3141.028,15614.7984444444,94717.8612080808,0.961540070540839,0.094,0.000624,0.00114657777777778,0.000542714343434344,0,23075.7400979592,23989.3331632653,6509.31334693877,1.66918299452886e-05,0.000227093140518253,0.000755617959183674,0.000482202448979592,4.82202448979592e-06
4188,50,19818.6224489796,13441.572,836542.20542449,13507.004,26780665.2759857,13357.7156,2288166340.38943,0.995859091730141,4.41127462531999e-05,1.12513236665249,0.000755102040816327,0.04744,9.90204081632653e-08,0.04124,1.34073154950869e-07,0.004124,3.412675196142e-08,13414.9,969.578,8029.95377777778,226626.81670303,0.981983335865268,0.05,0.000388,0.000540711111111111,0.000231170101010101,0,19964.3657306122,20454.4750857143,9177.73610269387,1.46018767196618e-05,0.000130360663504251,0.000513312653061225,0.00030757387755102,3.0757387755102e-06
4189,50,19344.3085714286,16866.232,442053.968281633,16916.534,26787568.8260784,16471.481,10794367087.9779,0.99822595838183,4.63709250799906e-05,1.26577570516876,0.000510204081632653,0.0288,6.86654693877551e-08,0.02456,6.59397047115142e-08,0.002456,6.15218606281325e-09,16853.24,753.478,6322.10555555556,932894.174761616,0.988556770480157,0.034,0.0003072,0.000346311111111111,9.94391919191919e-05,0,21289.5630367347,21034.7814734695,7656.30635204083,1.11243358504282e-05,0.000148116785451168,0.000267755102040816,0.000147271836734694,1.47271836734694e-06
4190,50,16060.9751020408,19648.912,1175236.73469796,19692.282,20847517.0602903,19201.8324,15727702040.559,0.999909822252341,2.42843505604362e-05,1.33176430372027,0.000807183673469388,0.02912,9.12352653061225e-08,0.02428,7.36095862937768e-08,0.002428,9.66471790025591e-09,19650.62,802.614,5479.726,1500249.16569697,0.991356547418841,0.0336,0.0003088,0.000398311111111111,0.000105511919191919,0,18610.6092408163,18969.7276285714,5761.34721453063,1.15318182491648e-05,0.000124946889993158,0.000401005714285714,0.000176328163265306,1.76328163265306e-06
4191,50,19495.8367346939,21991.824,3322395.78522857,22027.046,22704150.6024121,21543.055,13295068640.3153,1.00045396315847,3.68980730648762e-05,1.3606272009923,0.00054269387755102,0.02584,6.69968979591837e-08,0.02268,6.13867956664147e-08,0.002268,6.50661213562131e-09,21999.4,970.474,5541.59088888889,1871381.8913596,0.993498024411716,0.0296,0.0002952,0.000358844444444444,9.24985858585859e-05,0,20483.6222693877,18230.0613102041,3242.4966622449,1.09489407264069e-05,0.000127371632724864,0.000316871836734694,0.000147201632653061,1.47201632653061e-06
4192,50,18354.7269387755,24024.736,1308947.94524082,24044.2,8632506.01876624,23582.2036,13194208169.736,1.00142709837927,2.26988102066349e-05,1.36727823384907,0.000614040816326531,0.022,6.25737142857143e-08,0.0178,7.69679012345679e-08,0.00178,3.32770563603464e-09,24044.74,858.292,3460.916,2043197.54515556,0.996260336556613,0.0268,0.0002576,0.000332888888888889,6.68080808080808e-05,0,16600.9803102041,14384.3914285714,3320.05228881633,6.3945357250498e-06,0.000102404387311927,0.000260734693877551,8.68979591836735e-05,8.68979591836735e-07
4193,50,13248.6697959184,25737.856,2146019.21805714,25753.984,23543100.3142103,25355.0682,12959961854.3797,1.00167369673086,3.19030413249801e-05,1.35626679712836,0.000532897959183674,0.01952,1.25646367346939e-07,0.0164,1.24501397833207e-07,0.00164,4.37075026263459e-09,25762.94,1264.048,4759.96355555556,2003948.00500808,0.997228987078299,0.0224,0.0002416,0.000279466666666667,5.88315151515152e-05,0,12602.3151673469,7943.6209632653,2727.74101097961,7.62511092092517e-06,9.00497211792824e-05,0.000246622040816327,0.000100734693877551,1.00734693877551e-06
