run,villages-point-mean,population-point-var,population-stability-mean-5-mean,population-stability-var-5-var,population-stability-mean-10-mean,population-stability-var-10-var,population-stability-mean-100-mean,population-stability-var-100-var,population-trend-5-mean,population-trend-10-var,population-trend-100-mean,matrilocal-point-var,matrilocal-stability-mean-5-mean,matrilocal-stability-var-5-var,matrilocal-stability-mean-10-mean,matrilocal-stability-var-10-var,matrilocal-stability-mean-100-mean,matrilocal-stability-var-100-var,population-point-mean,population-stability-var-5-mean,population-stability-var-10-mean,population-stability-var-100-mean,population-trend-10-mean,matrilocal-point-mean,matrilocal-stability-var-5-mean,matrilocal-stability-var-10-mean,matrilocal-stability-var-100-mean,villages-point-var,population-stability-mean-5-var,population-stability-mean-10-var,population-stability-mean-100-var,population-trend-5-var,population-trend-100-var,matrilocal-stability-mean-5-var,matrilocal-stability-mean-10-var,matrilocal-stability-mean-100-var
1,0,0,0,0,0.03,0.0697748047367095,220.1616,57611582.7651779,0,0,0,0,0,0,0,0,0,0,0,0,0.0526666666666667,68013.3362909091,0,0,0,0,0,0,0,0.0180612244897959,433.83158922449,0,0,0,0,0
2,4.36,851.263673469388,37.828,869.196281632653,46.038,9099.86742600151,404.0834,83518753.1296253,0.610658064580563,0.0508300260067721,0.0432108778528028,0,0,0,0,0,0,0,32.04,28.562,125.235333333333,82145.6791414142,0.417728679094162,0,0,0,0,9.8269387755102,965.42532244898,1113.38036326531,1872.32703514286,0.0638675642120768,0.00151635191518621,0,0,0
3,26.76,9073.56775510204,424.02,3730.00279183674,437.806,43981.861266062,728.1844,98702281.3085989,0.948841935497771,0.00265738828117005,0.503164030196622,0,0,0,0,0,0,0,414.06,86.392,327.121111111111,41603.0925777778,0.889951224034014,0,0,0,0,22.3085714285714,8902.5,8787.97077959183,3796.54075983674,0.000758664644453272,0.0117737670891943,0,0,0
4,41,6586.44244897959,1013.468,6454.63153061225,1018.378,63620.1069216931,1115.991,10631706.3821807,0.991578442784249,0.000729504837391871,1.12223306590757,0,0,0,0,0,0,0,1009.08,52.97,140.018444444444,8039.62701616162,0.982785573242695,0,0,0,0,5.3469387755102,6250.27038367347,5986.29644489796,3375.87160510204,0.000227789512793634,0.00643509593277339,0,0,0
5,45.52,8274.23020408163,1491.68,2303.94210612245,1492.764,12394.4182220207,1470.1954,6476790.60279845,0.997377791835837,0.000369876741293794,1.5123816197388,0,0,0,0,0,0,0,1489.88,46.456,110.795111111111,8808.0727939394,0.997812774421094,0,0,0,0,4.70367346938776,8395.77632653061,8478.16806530612,6140.65668657143,0.000102801504132346,0.00366537285792336,0,0,0
6,46.8,5447.77183673469,1825.164,4586.01503673469,1825.246,51536.8976226254,1757.3256,9371685.537401,1.00085349204651,0.000346845317719245,1.72094817338235,0,0,0,0,0,0,0,1825.94,67.108,176.994888888889,20447.7074828283,1.00026415208486,0,0,0,0,2.12244897959184,5463.57010612245,5280.49600408163,3795.82650677551,0.000106125650011881,0.0013720723876394,0,0,0
7,47.36,5652.50448979592,2087.872,4463.38743265306,2088.246,19129.7889766188,1999.1712,12307194.0246548,0.999846312643206,0.00018170860919167,1.83755977094652,0,0,0,0,0,0,0,2087.84,54.754,130.278444444444,31282.8663959596,0.999600935921131,0,0,0,0,1.86775510204082,5598.42083265306,5245.39477959184,3853.13526383673,6.17645237548555e-05,0.00123769865045979,0,0,0
8,47.84,5783.10571428571,2303.484,7055.54115918367,2301.268,27916.6156545226,2212.1354,15821672.4212772,1.00098698889556,0.00018848390595755,1.89692578800606,0,0,0,0,0,0,0,2303.42,65.108,154.665333333333,40864.5144707071,1.0029535671172,0,0,0,0,2.21877551020408,5773.92994285715,5860.33609795918,5143.4870824898,6.59617844006022e-05,0.00101567781320625,0,0,0
9,48.1,6595.96571428571,2483.988,9533.44300408163,2483.28,31042.1461075334,2397.3352,24545383.9356227,0.999835067076603,0.000174144008230251,1.93116147445854,0,0,0,0,0,0,0,2483.56,81.216,169.647555555556,48499.9745171717,1.0007311255774,0,0,0,0,1.92857142857143,6199.8765877551,5748.1130612245,4958.22700914285,7.68278688505708e-05,0.00089188718713259,0,0,0
10,0,0,0,0,0,0,219.9392,50019854.1771092,0,0,0,0,0,0,0,0,0,0,0,0,0,67626.6816484849,0,0,0,0,0,0,0,0,376.559868734694,0,0,0,0,0
11,0.06,9.68,2.524,2282.84483265306,12.288,78914.8988069539,391.6468,120218729.923771,0.0117128321085359,0.000761999466838029,0.00077061476008951,0.0391836734693878,0.1708,0.0145199167346939,0.37244,0.00410451179586999,0.037244,0.000202072385821956,0.56,15.408,275.205333333333,83723.5650181818,0.00519893899204244,0.04,0.09296,0.1662992,0.0304226109090909,0.0983673469387755,41.9949224489796,137.25332244898,1532.72845077551,0.00346777505056144,1.84474296961251e-05,0.0615707755102041,0.0302428228571429,0.000302428228571429
12,11.74,4478.41836734694,236.324,645588.509391837,313.956,5405577.75771751,727.4446,78698808.5766037,0.599494950482167,0.00962321364864616,0.220184371647339,0.0124050612244898,0.40296,4.50070371020408e-05,0.34912,4.1788806558831e-05,0.034912,2.18547763377471e-05,181.3,2070.514,8976.54133333333,50335.375969697,0.384892259995701,0.4448,0.0064842,0.00934617777777778,0.0122599107070707,14.6861224489796,5099.27328979592,5304.11720816327,4084.66196004082,0.00994008138271939,0.00618303581435266,0.00643008,0.00370210775510204,3.70210775510204e-05
13,31.34,7818.24489795918,810.852,506843.049718367,886.838,3424678.09069292,1109.9094,9949361.14669013,0.851206565181788,0.00130294736328075,0.827732243214562,0.00223248979591837,0.23256,4.85406367346939e-07,0.20396,2.5865960191484e-06,0.020396,7.60675239827673e-07,746.2,2667.326,8557.13177777778,12702.5378484848,0.731928328949286,0.2504,0.0008824,0.00283288888888889,0.00408200808080808,12.0657142857143,7541.87071020408,7151.91954693878,4531.31216493878,0.000610629669669847,0.00667496567303636,0.000917884081632653,0.000479100408163265,4.79100408163265e-06
14,40.4,10230.4832653061,1309.836,586614.298710204,1373.942,2903215.47700302,1470.8956,4088537.18422,0.91563365200983,0.000596802809723464,1.26550778843412,0.000878530612244898,0.19412,1.82392857142857e-07,0.16654,1.67321938070043e-06,0.016654,2.83334556366427e-07,1251.08,2184.392,6237.34555555556,10679.1511232323,0.843125645110631,0.1948,0.000455,0.00262815555555556,0.00278805595959596,8.28571428571429,9555.64031020408,8820.79962857143,5374.47907004082,0.000285447214480113,0.00627690438167201,0.000447577142857143,0.000311110612244898,3.11110612244898e-06
15,44.56,11021.4057142857,1666.316,405068.924963265,1717.03,1580532.60251192,1747.547,11700612.4546761,0.947808581126245,0.000307759910678592,1.52663442033015,0.00039465306122449,0.18968,9.52855510204081e-08,0.15328,1.47265750365331e-06,0.015328,1.58263268356873e-07,1619.68,1331.656,3953.23311111111,20156.2743858586,0.896613279703012,0.1882,0.0002596,0.00299382222222222,0.00242768929292929,6.45551020408163,10789.2115755102,10169.7503061224,7074.28300918367,0.000155435660967916,0.00310538511336693,0.00023042612244898,0.000220409795918367,2.20409795918367e-06
16,46.82,6667.78816326531,1969.452,227504.222677551,2014.768,1654287.70988037,2024.4626,22335034.5682906,0.961375658973093,0.000216401259453016,1.67648394174096,0.000430367346938775,0.18256,7.72547346938775e-08,0.14224,1.52201222675737e-06,0.014224,2.19843622396882e-07,1929.26,1007.824,3245.29288888889,32340.309969697,0.91960360447873,0.1868,0.0002506,0.00314346666666667,0.00215908606060606,3.25265306122449,6352.11071020408,6446.46793469388,5744.42503187755,8.18150720002791e-05,0.00153170771942478,0.000281802448979592,0.000381900408163265,3.81900408163265e-06
17,47.62,6075.30775510204,2175.008,252251.710138776,2212.272,2094972.72577475,2214.5764,16819215.9949342,0.973734470432753,0.000331757102376042,1.76273308802205,0.000310244897959184,0.1766,9.13402448979592e-08,0.13346,1.38850302897455e-06,0.013346,1.71835175112119e-07,2145.28,631.308,2359.68222222222,40886.5665333333,0.93894490233384,0.1914,0.0003716,0.00337704444444444,0.0019554094949495,2.44448979591837,5405.56891428571,4965.79185306123,4741.57152555102,0.000105524868868309,0.00110660935899537,0.000325265306122449,0.000327437142857143,3.27437142857143e-06
