run,villages-point-mean,population-point-var,population-stability-mean-5-mean,population-stability-var-5-var,population-stability-mean-10-mean,population-stability-var-10-var,population-stability-mean-100-mean,population-stability-var-100-var,population-trend-5-mean,population-trend-10-var,population-trend-100-mean,matrilocal-point-var,matrilocal-stability-mean-5-mean,matrilocal-stability-var-5-var,matrilocal-stability-mean-10-mean,matrilocal-stability-var-10-var,matrilocal-stability-mean-100-mean,matrilocal-stability-var-100-var,population-point-mean,population-stability-var-5-mean,population-stability-var-10-mean,population-stability-var-100-mean,population-trend-10-mean,matrilocal-point-mean,matrilocal-stability-var-5-mean,matrilocal-stability-var-10-mean,matrilocal-stability-var-100-mean,villages-point-var,population-stability-mean-5-var,population-stability-mean-10-var,population-stability-mean-100-var,population-trend-5-var,population-trend-100-var,matrilocal-stability-mean-5-var,matrilocal-stability-mean-10-var,matrilocal-stability-mean-100-var
1,4.26,681.992244897959,109.844,271989.943138776,151.602,426893.539537465,593.7018,88525962.196187,0.397141130616766,0.00851816171028829,0.0383693764256744,0.0196771020408163,0.79444,0.000799712490816326,0.39722,0.00201091258368607,0.039722,5.824654755387e-05,64.26,1394.282,2625.63844444444,144003.879670707,0.303668733635908,0.9338,0.040301,0.196197222222222,0.0324231202020202,2.40040816326531,914.834759183674,1045.63366938776,413.179594653061,0.0110472575628275,0.000242772836650627,0.0109117208163265,0.00272793020408163,2.72793020408163e-05
2,10,2235.88775510204,1086.064,53544.5133918367,1116.888,253734.596643991,1294.1686,20266097.442467,0.935931880079144,0.000296916082056563,0.562961425716948,0.0167714285714286,0.158,0.000145561224489796,0.079,0.000183106701940035,0.0079,3.77662750989591e-06,1051.3,823.074,1479.34,34146.3702121212,0.91453986825531,0.258,0.0113,0.0139444444444444,0.00199767676767677,0,2204.03337142857,2111.69128163265,568.529861265305,8.81337862959708e-05,0.000622691195277802,0.00730204081632653,0.00182551020408163,1.82551020408163e-05
3,10,1340.9812244898,1811.716,84807.2372285714,1838.834,415716.078435324,1896.4598,1264399.82075935,0.967379563931157,0.000190659417845108,0.868612288662151,0.0195755102040816,0.1212,6.538e-05,0.0606,0.000155934638447972,0.00606,4.00729865923719e-06,1783.72,616.454,1188.44422222222,4190.71114949495,0.955638992411474,0.204,0.00774,0.0103088888888889,0.00149917171717172,0,1290.35116734694,1182.2190244898,407.497495877551,6.24773351985613e-05,0.000320520529089216,0.0102434285714286,0.00256085714285714,2.56085714285714e-05
4,10,1047.56571428571,2290.168,78886.7387306123,2316.542,452605.847333081,2337.4176,123067.503001906,0.976099737750452,0.000212173212671477,1.01632265504175,0.0114938775510204,0.086,2.90922448979592e-05,0.043,2.76720030234316e-05,0.0043,5.64947912020639e-07,2265.84,549.262,1159.27888888889,1016.45737777778,0.967176647517721,0.144,0.00464,0.00528666666666667,0.000744424242424243,0,987.945077551019,875.058404081632,181.982047183673,5.61832287181095e-05,0.000230155905439095,0.00429795918367347,0.00107448979591837,1.07448979591837e-05
5,10,907.314693877551,2634.836,113037.998812245,2657.942,353244.726033006,2670.0636,144168.378439322,0.98233237336327,0.000109260681508124,1.09012529629882,0.010730612244898,0.0676,3.10044897959184e-05,0.0338,3.61217888636936e-05,0.00338,7.64525722698017e-07,2614.46,428.358,896.687777777778,2366.75183434343,0.975101338142449,0.122,0.00434,0.00446444444444444,0.000613313131313131,0,1033.18643265306,1024.47717959184,112.675958204082,5.48048657936077e-05,0.000158925564314187,0.00465126530612245,0.00116281632653061,1.16281632653061e-05
6,2.26,279.453469387755,72.316,531608.426567347,132.208,1538217.70109468,590.7786,69192611.8198831,0.175583936695645,0.00517844250562079,0.0147277658534924,0.0918367346938776,0.94212,0.00318747315187755,0.47106,0.000302058523350466,0.047106,1.61018168564153e-05,24.66,1913.258,4942.36088888889,144680.248357576,0.116746468333406,0.9,0.0267354,0.259711533333333,0.0438870684848485,2.0330612244898,513.797697959184,667.889730612245,546.399293918368,0.00991643753630014,9.95692438711064e-05,0.00468855673469388,0.00117213918367347,1.17213918367347e-05
7,10,2187.65755102041,1030.132,618752.918877551,1095.722,1952688.80904132,1300.1232,29634057.6740786,0.84986819796614,0.000473767814007422,0.506783422904446,0.0298612244897959,0.3392,0.000599020408163265,0.1696,0.001008350718065,0.01696,2.44456907978986e-05,946.66,4394.13,6807.01,35136.0849010101,0.81300846727522,0.556,0.0372,0.0527555555555556,0.00775959595959596,0,2042.65568979592,1883.50175102041,486.009765061225,0.000201503835908487,0.00062542103644349,0.0156564897959184,0.00391412244897959,3.91412244897959e-05
8,10,1596.20775510204,1754.492,269785.382546939,1811.94,1277541.95919375,1892.9444,1122825.89168262,0.926899313273078,0.000165947182685015,0.823523137404447,0.0213428571428571,0.2288,0.000306344489795918,0.1144,0.000357120765936004,0.01144,7.82199206494964e-06,1690.42,2783.548,4982.04444444445,4867.24210505051,0.903496222759611,0.378,0.02132,0.0267155555555556,0.00383923232323232,0,1602.89340408163,1507.36775510204,200.361657795918,4.54272760821199e-05,0.000369376557036996,0.00991281632653061,0.00247820408163265,2.47820408163265e-05
9,10,1228.85551020408,2231.804,224721.578302041,2283.976,1632894.45441854,2333.1424,210032.172865941,0.950162345761296,0.00015352299204613,0.976971515034495,0.019934693877551,0.1764,0.000109843265306122,0.0882,0.000247471347946586,0.00882,6.26921887978944e-06,2179.04,2075.908,4077.576,1633.33414949495,0.932430605900705,0.292,0.01244,0.0170422222222222,0.00249129292929293,0,1233.94202448979,1052.86635102041,143.105014530612,2.97337087346073e-05,0.000253983039802379,0.0105418775510204,0.0026354693877551,2.6354693877551e-05
10,10,772.303673469388,2582.324,178075.084065306,2632.45,2227178.28459164,2669.8232,236874.066612902,0.962169460321723,0.000165348279653442,1.05842049188434,0.0168367346938776,0.1504,7.42126530612245e-05,0.0752,0.000154520655076846,0.00752,3.89740694681301e-06,2537.68,1588.104,3687.03844444444,2678.96686060606,0.945728789977844,0.23,0.00854,0.0129422222222222,0.00192492929292929,0,810.669208163265,558.15193877551,151.058724244898,2.59513340717613e-05,0.000134101059226235,0.0105182040816327,0.00262955102040816,2.62955102040816e-05
